Ngay,Doduc_vao_nha_may,pH_Song_SG,pH_vao_nha_may,Man_song_saigon,NH3_song_sai_gon,Mn_vao_nha_may,Fe_vao_nha_may,DO_vao_nha_may,Mau_vao_nha_may_BK,SS_vao_nha_may,Thetich_Jartest_PAC,Nongdo_Jartest_PAC,month,day_of_year,week,sin_month,cos_month,sin_doy,cos_doy,is_dry_season,Doduc_vao_nha_may_lag1,Doduc_vao_nha_may_lag2,Doduc_vao_nha_may_lag3,Doduc_vao_nha_may_lag7,Doduc_vao_nha_may_lag14,Man_song_saigon_lag1,Man_song_saigon_lag2,Man_song_saigon_lag3,Man_song_saigon_lag7,Man_song_saigon_lag14,pH_Song_SG_lag1,pH_Song_SG_lag2,pH_Song_SG_lag3,pH_Song_SG_lag7,pH_Song_SG_lag14,Mn_vao_nha_may_lag1,Mn_vao_nha_may_lag2,Mn_vao_nha_may_lag3,Mn_vao_nha_may_lag7,Mn_vao_nha_may_lag14,Nongdo_Jartest_PAC_lag1,Nongdo_Jartest_PAC_lag2,Nongdo_Jartest_PAC_lag3,Nongdo_Jartest_PAC_lag7,Nongdo_Jartest_PAC_lag14,Doduc_vao_nha_may_roll7_mean,Doduc_vao_nha_may_roll7_std,Doduc_vao_nha_may_roll14_mean,Man_song_saigon_roll7_mean,Man_song_saigon_roll7_std,Man_song_saigon_roll14_mean,Mn_vao_nha_may_roll7_mean,Mn_vao_nha_may_roll7_std,Mn_vao_nha_may_roll14_mean,Nongdo_Jartest_PAC_roll7_mean,Nongdo_Jartest_PAC_roll7_std,Nongdo_Jartest_PAC_roll14_mean,Doduc_log,Doduc_log_lag1
2017-01-15,0.16,0.5908557404219743,0.7808219178082186,0.16607247736655917,0.0,0.0,0.0,0.1722252597047567,0.0,0.0,0.42857142857142855,0.4747774480712163,0.0,0.038356164383561646,0.019230769230769232,0.75,0.9330127018922194,0.6276778298884809,0.9834235998003824,1.0,0.18133333333333335,0.384,0.33066666666666666,0.10666666666666667,0.4266666666666667,0.1744458795867218,0.16607247736655917,0.1744458795867218,0.14095227070607122,0.09071185738509534,0.626677193385989,0.5948359018624206,0.5789152561006364,0.5072723501726073,0.5152326730534996,0.0,0.0,0.0,0.0,0.0,0.4747774480712163,0.4747774480712163,0.4747774480712163,0.4747774480712163,0.522255192878338,0.22653166294834395,0.3115490186973627,0.2078731758070674,0.14510874291271747,0.07639314726897017,0.11167690598144177,0.0,0.0,0.0,0.5254104769351056,0.0,0.606699368417716,0.3643982281717519,0.39716552864201526
2017-01-16,0.128,0.5430938031366217,0.7808219178082186,0.1744458795867218,0.0,0.0,0.0,0.19136139967195184,0.0,0.0,0.37562051847766137,0.4272997032640947,0.0,0.0410958904109589,0.038461538461538464,0.75,0.9330127018922194,0.6359803379808554,0.9811541896943402,1.0,0.16,0.18133333333333335,0.384,0.128,0.26666666666666666,0.16607247736655917,0.1744458795867218,0.16607247736655917,0.1493256729262339,0.09908525960525799,0.5908557404219743,0.626677193385989,0.5948359018624206,0.5231929959343915,0.5112525116130536,0.0,0.0,0.0,0.0,0.0,0.4747774480712163,0.4747774480712163,0.4747774480712163,0.4747774480712163,0.5697329376854596,0.23492172453902338,0.2815999730369305,0.18378665550287657,0.1487875561133216,0.053240832918298,0.1175190497673443,0.0,0.0,0.0,0.5254104769351056,0.0,0.6025152348424214,0.3105741880452757,0.3643982281717519
2017-01-17,0.14933333333333335,0.5550342874579599,1.0,0.1744458795867218,0.219047619047619,0.0,0.0,0.21049753963914705,0.0,0.0,0.42857142857142855,0.4747774480712163,0.0,0.043835616438356165,0.038461538461538464,0.75,0.9330127018922194,0.6442425521643901,0.9787422004736793,1.0,0.128,0.16,0.18133333333333335,0.2986666666666667,0.2986666666666667,0.1744458795867218,0.16607247736655917,0.1744458795867218,0.18281928180688448,0.10745866182542063,0.5430938031366217,0.5908557404219743,0.626677193385989,0.5430938031366217,0.463490574327701,0.0,0.0,0.0,0.0,0.0,0.4272997032640947,0.4747774480712163,0.4747774480712163,0.4747774480712163,0.522255192878338,0.23492172453902338,0.2815999730369305,0.1712616649446973,0.15246636931392563,0.02887389564903143,0.1233611935532468,0.0,0.0,0.0,0.5179046129788897,0.0675893549423584,0.5899628341165377,0.34712587092295916,0.3105741880452757
2017-01-18,0.14933333333333335,0.547073964577068,0.7808219178082186,0.1744458795867218,0.27142857142857135,0.0,0.0,0.22963367960634223,0.0,0.0,0.37562051847766137,0.4272997032640947,0.0,0.04657534246575343,0.038461538461538464,0.75,0.9330127018922194,0.6524620241667093,0.976188346862861,1.0,0.14933333333333335,0.128,0.16,0.3413333333333333,0.224,0.1744458795867218,0.1744458795867218,0.16607247736655917,0.1744458795867218,0.12420546626574593,0.5550342874579599,0.5430938031366217,0.5908557404219743,0.5391136416961757,0.5112525116130536,0.0,0.0,0.0,0.0,0.0,0.4747774480712163,0.4272997032640947,0.4747774480712163,0.4747774480712163,0.522255192878338,0.21142955208512104,0.2995451884910091,0.15777321357435042,0.15124009824705764,0.020416927412702127,0.12855421025182678,0.0,0.0,0.0,0.5179046129788898,0.0675893549423584,0.5857787005412429,0.34712587092295916,0.34712587092295916
2017-01-19,0.08533333333333333,0.547073964577068,0.8904109589041088,0.1744458795867218,0.28571428571428564,0.0,0.0,0.24876981957353744,0.0,0.0,0.37562051847766137,0.4272997032640947,0.0,0.049315068493150684,0.038461538461538464,0.75,0.9330127018922194,0.6606363183808679,0.973493385623827,1.0,0.14933333333333335,0.14933333333333335,0.128,0.33066666666666666,0.24533333333333332,0.1744458795867218,0.1744458795867218,0.1744458795867218,0.1744458795867218,0.11583206404558327,0.547073964577068,0.5550342874579599,0.5430938031366217,0.5789152561006364,0.5430938031366217,0.0,0.0,0.0,0.0,0.0,0.4272997032640947,0.4747774480712163,0.4272997032640947,0.4747774480712163,0.4747774480712163,0.18122533035867516,0.2819105304314714,0.15102898788917699,0.15124009824705764,0.020416927412702127,0.13244897277576181,0.0,0.0,0.0,0.510398749022674,0.0872574820242187,0.5774104333906538,0.22776722985595638,0.34712587092295916
2017-01-20,0.032,0.5749350946601901,0.5616438356164374,0.16607247736655917,0.0,0.0,0.0,0.2679059595407326,0.0,0.0,0.42857142857142855,0.4747774480712163,0.0,0.052054794520547946,0.038461538461538464,0.75,0.9330127018922194,0.6687630125870745,0.9706581153317543,1.0,0.08533333333333333,0.14933333333333335,0.14933333333333335,0.384,0.11733333333333333,0.1744458795867218,0.1744458795867218,0.1744458795867218,0.16607247736655917,0.13257886848590858,0.547073964577068,0.547073964577068,0.5550342874579599,0.5948359018624206,0.5112525116130536,0.0,0.0,0.0,0.0,0.0,0.4272997032640947,0.4272997032640947,0.4747774480712163,0.4747774480712163,0.4747774480712163,0.1426310470415499,0.2653880792868297,0.1365770757066625,0.15124009824705764,0.020416927412702127,0.1369928623870193,0.0,0.0,0.0,0.5028928850664581,0.09558578243153222,0.5732262998153592,0.0986157165009451,0.22776722985595638
2017-01-21,0.064,0.5590144488984059,0.8904109589041088,0.16607247736655917,0.20952380952380947,0.0,0.0,0.2870420995079278,0.0,0.0,0.37562051847766137,0.4272997032640947,0.0,0.0547945205479452,0.038461538461538464,0.75,0.9330127018922194,0.6768396986704476,0.9676833761384206,1.0,0.032,0.08533333333333333,0.14933333333333335,0.18133333333333335,0.08533333333333333,0.16607247736655917,0.1744458795867218,0.1744458795867218,0.1744458795867218,0.13257886848590858,0.5749350946601901,0.547073964577068,0.547073964577068,0.626677193385989,0.5271731573748378,0.0,0.0,0.0,0.0,0.0,0.4747774480712163,0.4272997032640947,0.4272997032640947,0.4747774480712163,0.4747774480712163,0.08725664054306584,0.13454595289379945,0.1288693892093214,0.15124009824705764,0.020416927412702127,0.13958937073630928,0.0,0.0,0.0,0.5028928850664581,0.09558578243153222,0.5732262998153593,0.18023384433423562,0.0986157165009451
2017-01-22,0.0,0.5828954175410824,0.7808219178082186,0.1744458795867218,0.0,0.0,0.0,0.306178239475123,0.0,0.0,0.37562051847766137,0.4272997032640947,0.0,0.057534246575342465,0.038461538461538464,0.75,0.9330127018922194,0.6848639833345912,0.964570049523249,1.0,0.064,0.032,0.08533333333333333,0.16,0.10666666666666667,0.16607247736655917,0.16607247736655917,0.1744458795867218,0.16607247736655917,0.14095227070607122,0.5590144488984059,0.5749350946601901,0.547073964577068,0.5908557404219743,0.5072723501726073,0.0,0.0,0.0,0.0,0.0,0.4272997032640947,0.4747774480712163,0.4272997032640947,0.4747774480712163,0.4747774480712163,0.06879850504357113,0.1293747808227064,0.12694246758498615,0.15001382718018957,0.022365623397765527,0.1421858790855993,0.0,0.0,0.0,0.4953870211102424,0.09558578243153219,0.5690421662400648,0.0,0.18023384433423562
2017-01-23,0.032,0.5749350946601901,0.6712328767123276,0.18281928180688448,0.0,0.0,0.0,0.32531437944231817,0.0,0.0,0.37562051847766137,0.4272997032640947,0.0,0.06027397260273973,0.057692307692307696,0.75,0.9330127018922194,0.6928334888107813,0.9613190580321067,1.0,0.0,0.064,0.032,0.128,0.128,0.1744458795867218,0.16607247736655917,0.16607247736655917,0.1744458795867218,0.1493256729262339,0.5828954175410824,0.5590144488984059,0.5749350946601901,0.5430938031366217,0.5231929959343915,0.0,0.0,0.0,0.0,0.0,0.4272997032640947,0.4272997032640947,0.4747774480712163,0.4272997032640947,0.4747774480712163,0.04362832027153292,0.15568989816439824,0.11730785946330978,0.15124009824705764,0.020416927412702127,0.14478238743488928,0.0,0.0,0.0,0.4878811571540267,0.08725748202421858,0.5648580326647701,0.0986157165009451,0.0
2017-01-24,0.042666666666666665,0.5908557404219743,0.8904109589041088,0.2079394884673724,0.19047619047619044,0.0,0.0,0.3444505194095134,0.0,0.0,0.37562051847766137,0.4747774480712163,0.0,0.06301369863013699,0.057692307692307696,0.75,0.9330127018922194,0.7007458535625491,0.9579313650039347,1.0,0.032,0.0,0.064,0.14933333333333335,0.2986666666666667,0.18281928180688448,0.1744458795867218,0.16607247736655917,0.1744458795867218,0.18281928180688448,0.5749350946601901,0.5828954175410824,0.5590144488984059,0.5550342874579599,0.5430938031366217,0.0,0.0,0.0,0.0,0.0,0.4272997032640947,0.4272997032640947,0.4272997032640947,0.4747774480712163,0.4747774480712163,0.02852620940831,0.15568989816439824,0.10863671215380108,0.15246636931392563,0.02887389564903143,0.14737889578417926,0.0,0.0,0.0,0.4878811571540267,0.08725748202421858,0.5606738990894755,0.12740862156695487,0.0986157165009451
